i'm just curious	je suis juste curieuse
i come here every day	je viens ici chaque jour
i must insist	je dois insister
where do you write ?	ou ecris tu ?
i'm experiencing some heartburn	je ressens des brulures d'estomac
germany borders on france	l'allemagne borde la france
was that an insult ?	etait ce une insulte ?
my sons are soldiers	mes fils sont soldats
ignore tom's request	ignore la demande de tom
he fell asleep immediately	il s'endormit immediatement
ignorance is bliss	l'ignorance c'est la felicite
let's go away	allons nous en !
tell me the truth	dis moi la verite
i have immunity	je dispose de l'immunite
that's a lot of cash	c'est beaucoup d'argent liquide
i've taken care of everything	j'ai pris soin de tout
please come here	venez ici je vous prie
we love coffee	nous adorons le cafe
we'll swim	nous nagerons
what were you thinking ?	a quoi pensais tu ?
i thought i recognized you	je pensais vous avoir reconnus
do you get it ?	tu piges ?
tom's violent	tom est violent
what a waste !	quel gachis !
anyone can do that	n'importe qui peut faire ca
i baked it for you	je la cuisis pour toi
you look busy	tu as l'air occupe
i'm glad to hear that	je suis heureux d'entendre cela
she heard him sing	elle l'a entendu chanter
thank you my dear	merci ma cherie !
tom isn't joking	tom ne blague pas
i'm looking forward to it	j'attends cela avec impatience
you're talented	tu es talentueuse
i don't think so	je pense que non
they smell bad	ils puent
the dog followed me	le chien m'a suivi
just turn this handle	tourne juste cette poignee !
it is next to impossible	c'est quasi impossible
he plays very well	il joue tres bien
take the garbage out	sors les detritus
my bag was stolen	on m'a vole mon sac
she failed to appear	elle ne s'est pas montree
are you still happy ?	etes vous toujours heureuse ?
heed public opinion	tenez compte de l'opinion publique
everybody is sore	tout le monde est agace
it was very hot	il faisait tres chaud
i was kidding	je blaguais
i don't notice any difference	je ne remarque aucune difference
i want to be careful	je veux etre prudent
thank you for greeting me	merci a vous de m'accueillir
they're in trouble	ils ont des ennuis
the soldiers guarded the bridge	les soldats gardaient le pont
obviously he is wrong	il a tort a l'evidence
don't cut down those trees	n'abattez pas ces arbres !
my son is a journalist	mon fils est journaliste
i guess it's true	je suppose que c'est vrai
we can handle that	nous pouvons nous en charger
here's my account number	voici mon numero de compte
he's already married	il est deja marie
something has happened	il est arrive quelque chose
it is rather warm today	il fait assez chaud aujourd'hui
it's now my turn	c'est mon tour maintenant
try this	essayez ceci !
they explored the antarctic	ils explorerent l'antarctique
nobody deserves that	personne ne merite ca
tom was in love	tom etait amoureux
all of us speak french	nous parlons tous francais
here he comes	le voici
i am exhausted	je suis creve
tom stopped it	tom l'a arretee
i never said that	je n'ai jamais dit cela
you must be sleepy	vous devez avoir sommeil
i want one	j'en veux un !
how was your weekend ?	comment etait ton weekend ?
you will miss the train	vous allez rater le train
i lost my wallet	j'ai perdu mon portefeuille
i have to leave you	je dois te quitter
that would take all day	ca prendrait toute la journee
how unlucky i am !	quel malchanceux je suis !
everyone likes her	tout le monde l'apprecie
he broke the law	il a enfreint la loi
it's all in my report	tout est dans mon rapport
we all wished for peace	nous souhaitions toutes la paix
i am totally confused	je suis completement confus
i hate that color	je deteste cette couleur
he arrived in time	il arriva a temps
he was naive	il etait naif
i'm not hungry anymore	je n'ai plus faim
the magazines were dog eared	les magazines etaient ecornes
did you drop it ?	l'as tu debarque ?
what is she saying ?	que dit elle ?
i have my own reasons	j'ai mes propres raisons
look around	regardez autour de vous
catch the ball	attrape la balle
tom is from australia	tom vient d'australie
nobody died	personne n'est mort
let's get cracking !	on y va !
i'm loaded	je suis saoul
she was wearing a negligee	elle portait un neglige
i made a fortune	j'ai amasse une fortune
he did the right thing	il fit ce qu'il fallait
he likes taking walks	il aime faire des promenades
this is odd	c'est bizarre
i am new here	je suis nouveau ici
i found your cap	j'ai trouve ta casquette
say it in french	dites le en francais
we're surprised	nous sommes surpris
i like your hair	j'aime vos cheveux
thanks for the heads up	merci de m'avoir averti
can you shut up ?	peux tu te taire ?
tom is helpful	tom est serviable
i hate this job	moi je deteste ce boulot
the jury is deliberating	le jury delibere
i won't lose anything	je ne perdrai rien
tom won the game	tom remporta le match
i'm not perfect	je ne suis pas parfait
it feels like a dream	on dirait un reve
who's this guy ?	qui est ce type ?
tom explained the decision	tom a explique la decision
it was his fault	c'etait de sa faute
that umbrella is tom's	ce parapluie est a tom
i find you very attractive	je vous trouve tres attirant
these shoes cost too much	ces chaussures coutent trop cher
it's secret	c'est secret
they died one after another	ils moururent l'un apres l'autre
i'll eat here	je mangerai ici
read the article	lis l'article
i was detained	j'ai ete incarcere
we're on schedule	nous sommes dans les temps
are you afraid ?	avez vous peur ?
i have a good dictionary	j'ai un bon dictionnaire
you're out of time	votre temps est ecoule
tom isn't strong	tom n'est pas fort
he remains sick bed	il reste alite
i need a good dictionary	j'ai besoin d'un bon dictionnaire
when did that happen ?	quand est ce survenu ?
what is his name ?	comment s'appelle t il ?
try and stop me	essayez de m'arreter !
this bed is heavy	ce lit pese lourd
tom is looking ill	tom a l'air malade
i thought i'd surprise you	je pensais vous surprendre
i did everything right	j'ai tout fait correctement
tom didn't like that place	tom n'aimait pas cet endroit
it's a new book	c'est un nouveau livre
i haven't given up yet	je n'ai pas encore abandonne
i like to run	j'aime faire du jogging
this newspaper is free	ce journal est gratuit
is this your room ?	est ce ta chambre ?
i'm not embarrassed	je ne suis pas embarrasse
boy was i wrong	combien j'avais tort !
she's missed the boat	elle a loupe le coche
take your umbrella with you	prenez un parapluie avec vous
you may take the book	tu peux prendre le livre
i love to cook	j'aime cuisiner
i need my privacy	j'ai besoin de mon intimite
i wanted to laugh	j'ai voulu rire
we had a heated discussion	nous eumes une chaude discussion
our budget is very limited	notre budget est tres limite
i got fined	j'ai ete verbalisee
thanks for the explanation	merci pour ton explication
your examination results are excellent	vos resultats d'examen sont excellents
hippopotamuses love water	les hippopotames aiment l'eau
don't judge me	ne me jugez pas
you must study much harder	tu dois etudier beaucoup plus
they're leaving	ils partent
get out of the van	sors de la camionnette !
i didn't graduate	je n'ai pas ete diplomee
i'd like to see that	j'aimerais voir ca
he leaned against the wall	il s'appuya contre le mur
teaching english is his profession	enseigner l'anglais est sa profession
she went shopping	elle alla faire des courses
i had second thoughts	j'ai reconsidere la question
i'll leave that to you	je vous le laisse
i couldn't stand	je ne pourrais pas tenir
it's so beautiful	c'est si beau !
don't ask me to help	ne me demandez pas d'aider
the ice has melted	la glace a fondu
tom took a shower	tom prit une douche
nobody speaks to me	aucun ne me parle
they found out	elles ont decouvert la chose
take that back	retire ca !
they were unimpressed	elles ne furent pas impressionnees
his idea wasn't usable	son idee n'etait pas exploitable
i'm lazy	je suis paresseux
it's still warm	c'est encore chaud
they are very compatible	ils sont tres compatibles
i'm very modest	je suis fort modeste
he lives in a village	il habite dans un village
she hates him	elle le hait
everything is different today	tout est different aujourd'hui
it's not right	ce n'est pas correct
stay together	restez ensemble
look at that picture	regardez cette image
he swallowed his pride	il ravala sa fierte
i'll attend	je serai present
come back later	reviens plus tard
this should be fun	ca devrait etre amusant
i'm from bulgaria	je viens de bulgarie
they sang in tune	ils ont chante juste
it looks like rain	il semble pleuvoir
i didn't like it	je n'ai pas aime
down with the king !	a bas le roi !
antimatter is highly unstable	l'antimatiere est tres instable
don't you feel anything ?	ne sens tu rien ?
you have to come	vous devez venir
he betrayed my confidence	il a trahi ma confiance
you're hiding something	tu caches quelque chose
that's good isn't it ?	c'est bien non ?
tom understands the risks	tom comprend les risques
he sold us out	il nous a vendus
you're very wise	vous etes fort avisee
you took advantage of me	vous avez profite de moi
we'll accept your conditions	nous accepterons tes conditions
how did you do ?	comment avez vous fait ?
i do sympathize with you	je partage vraiment tes sentiments
he will wait	il attendra
how can i lose ?	comment puis je perdre ?
keep your head low	garde la tete basse !
i'll give it to you	je vous le donnerai
the telephone doesn't work	le telephone ne marche pas
nobody was injured	personne n'a ete blesse
i don't like my job	je n'aime pas mon boulot
i brought you some lunch	je t'ai apporte un dejeuner
i don't like bad boys	je n'aime pas un voyou
don't push me !	ne me poussez pas !
you're such an idiot !	quel imbecile tu es !
you're very perceptive	vous etes tres perspicace
tom jumped	tom sauta
tom walked towards the stairs	tom marcha vers les escaliers
you're very astute	tu es fort astucieux
you're the leader	vous etes la chef
i suppose that's impossible	je suppose que c'est impossible
they were all scared	ils etaient tous effrayes
she is just a wallflower	elle est juste decorative
evil sometimes wins	parfois le diable gagne
i'm from singapore	je suis de singapour
they all look the same	elles paraissent toutes semblables
this is all our fault	tout est de notre faute
i've had enough of this	j'en ai assez entendu
yeah you're right	ouais vous avez raison
show us around	fais nous faire le tour
you are my daughter	vous etes ma fille
tom looks intrigued	tom a l'air intrigue
i baked it for you	je la cuisis pour vous
summer is almost over	l'ete est presque termine
she has a wonderful personality	elle a une merveilleuse personnalite
i enjoyed the attention	j'ai apprecie l'attention
this is all so strange	tout est si etrange
i'd like to get started	j'aimerais commencer
everybody likes money	tout le monde apprecie l'argent
what don't you have ?	que n'as tu pas ?
please look for it	cherchez la je vous prie
lead the way	montre le chemin
your cough worries me	votre toux m'inquiete
all are welcomed	tous sont bienvenus
you look perfect	tu as l'air parfait
tom led the attack	tom a mene l'attaque
i'll add the finishing touch	j'ajouterai la touche finale
i think they like us	je crois qu'elles nous apprecient
he loves soccer	il adore le foot
get me the evidence	obtenez moi les preuves !
this heater burns gas	le radiateur fonctionne a l'essence
snap out of it !	reprenez vos esprits !
that's absolutely right	c'est absolument vrai
we're untalented	nous sommes depourvus de talent
you're hurting me	tu me fais mal !
you're extroverted	vous etes extraverties
i don't get opera	je ne pige pas l'opera
i want to die	je veux mourir
we could've made a fortune	on aurait pu faire fortune
is it painful ?	est ce douloureux ?
i bought many books	j'ai achete de nombreux livres
leave me alone !	laissez moi tranquille !
your behavior was disgraceful	votre comportement a ete honteux
she's a real gossip	c'est une vraie commere
the employees are all unionized	tous les employes sont syndiques
he has two cats	il a deux chats
somebody poisoned tom	quelqu'un a empoisonne tom
this is an important letter	c'est une lettre importante
he is always neatly dressed	il est toujours soigneusement vetu
it's irrelevant	c'est hors de propos
your dreams will come true	vos reves deviendront realite
i did have fun	je me suis amusee
the food is spoiled	la nourriture est avariee
the building is under construction	le batiment est en construction
the door remained closed	la porte resta close
the damage has been done	les dommages ont ete faits
these containers are airtight	ces recipients sont hermetiques
don't say that	ne dis pas ca
may i use this ?	puis je utiliser ceci ?
life is fun	la vie est amusante
you're not fooling anybody	vous ne trompez personne
this is a good textbook	c'est une bonne methode
i'm beginning to get curious	je commence a devenir curieux
i like japanese girls	j'aime les japonaises
i told you so	je vous l'avais dit !
don't be crude	ne sois pas salace !
let's keep quiet	restons silencieux
she's got more books	elle a plus de livres
perfect !	parfait !
i saw nothing	je ne vis rien
i admire your bravery	j'admire ta bravoure
that wasn't what i intended	ce n'etait pas mon intention
do you live alone ?	vis tu seule ?
you should have stopped	tu aurais du arreter
i'll treat you to dinner	je vous inviterai a diner
are you enjoying yourself ?	vous amusez vous ?
try to keep it down	essaie de ne pas vomir
where's the checkout counter ?	ou est la caisse ?
his son is a genius	son fils est un genie
when are you busy ?	quand es tu occupe ?
we will be back tonight	nous reviendrons au soir
she raised her hands	elle leva les mains
my grandfather likes to walk	mon grand pere aime marcher
you have everything	tu as tout
i hear what you're saying	j'entends ce que vous dites
is that unusual ?	est ce inhabituel ?
it's silent	c'est silencieux
i keep my word	je tiens parole
do you realize that ?	en prenez vous conscience ?
i'm leaving tonight	je pars ce soir
you're not that interesting	tu n'es pas si interessante
i saw the movie	je vis le film
he bit his lip	il se mordit la levre
she sleeps on her stomach	elle dort sur le ventre
we're working at the moment	nous travaillons a l'instant
i had to see you	il me fallait vous voir
i like this neighborhood	j'apprecie ce voisinage
he banged his head	il se heurta la tete
please telephone him	veuillez lui telephoner
let's end all this bickering	arretons toutes ces chamailleries
the air is damp	l'air est humide
that noise woke me up	ce bruit me reveilla
i believe that	j'y crois
they're students	ce sont des etudiants
it wasn't funny	ce n'etait pas drole
turn around please	veuillez vous retourner !
you're in big trouble	tu as de gros problemes
that's true too	c'est egalement vrai
i don't like this	je n'aime pas cela
are they japanese ?	sont elles japonaises ?
you look stupid	tu as l'air bete
i'm trying my best	je fais de mon mieux
i never would've allowed that	je n'aurais jamais autorise cela
i know	je sais
we were disappointed	nous etions decues
you're forgiven	vous etes pardonnees
the news made her sad	la nouvelle l'a rendue triste
well i must be going	bien je dois partir
had you been drinking ?	as tu bu ?
i often ski	je skie souvent
stay with me	restez avec moi
never give up	n'abandonne jamais
you ate my sandwich	tu as mange mon sandwich
i said nothing	je ne dis rien
we're a big family	nous sommes une grande famille
they can't hear you	elles ne peuvent t'entendre
tom almost cried	tom a presque pleure
we're sneaky	nous sommes sournoises
forget it !	oublie !
tom is doing great now	tom va bien maintenant
do you deny it ?	le nies tu ?
i really don't know	je ne sais vraiment pas
i want to know why	je veux savoir pourquoi
they will agree on that	ils seront d'accord la dessus
he was crushed to death	il a ete ecrase
i was only teasing	je ne faisais que plaisanter
i must warn them	je dois les prevenir
we knew enough	nous en savions assez
i followed you	je t'ai suivi
what's the emergency ?	quelle en est l'urgence ?
people like to talk	les personnes aiment parler
she told him to study	elle lui enjoignit d'etudier
you're not a child anymore	tu n'es plus un bebe
beethoven wrote nine symphonies	beethoven a ecrit neuf symphonies
bite your tongue	mordez vous la langue !
i have had an inspiration	j'ai eu une inspiration
they said no	elles ont dit non
go to bed	allez au lit !
we all have missed you	tu nous as tous manque
i bought that car	j'ai achete cette voiture
i've already cleaned my room	j'ai deja nettoye ma chambre
no one will believe us	personne ne nous croira
where did you live ?	ou avez vous vecu ?
what's this smell ?	quelle est cette odeur ?
i'll manage	je m'en sortirai
we want to negotiate	nous voulons negocier
i'm not discouraged	je ne suis pas decourage
i want a scooter	je veux une trottinette
i must go alone	je dois y aller seul
he has a toyota	il a une toyota
you deserve to succeed	vous meritez de reussir
they crossed the border	ils ont traverse la frontiere
that took guts	il fallait avoir les tripes
this is insoluble in water	c'est insoluble dans l'eau
can you skip me ?	vous pouvez me lacher ?
be merciful	soyez clement !
i'm being serious	je suis serieux
we know this song	nous connaissons cette chanson
he is a daredevil	c'est un casse cou
i hate silent movies	je deteste les films muets
i'm hungry and thirsty	j'ai faim et soif
i saw them	je les ai vus
tom spoke calmly	tom parla calmement
the boy was silent	le garcon etait silencieux
tom is still very unhappy	tom est toujours tres malheureux
they left without me	ils sont partis sans moi
he studied military history	il a etudie l'histoire militaire
i just wanted to talk	je voulais simplement discuter
just try it out	essaie le simplement !
you're very lonely	tu es tres solitaire
i'll call you back later	je vous rappelle plus tard
we are australian	nous sommes australiennes
you're not fired	tu n'es pas viree
that's peculiar	c'est etrange
you've been great	vous avez ete super !
come back soon	ne sois pas long
she must go there	elle doit s'y rendre
this is all so complicated	tout est si complique
they were unimpressed	ils n'ont pas ete impressionnes
his face brightened	son visage s'eclaira
run for it !	taille toi !
it's not all bad	ce n'est pas entierement mauvais
she has an agreeable voice	elle a une agreable voix
are you sleepy ?	as tu sommeil ?
you heard correctly	tu as bien entendu
i bathe every day	je me baigne quotidiennement
tom couldn't kill anyone	tom ne pouvait tuer personne
anybody can participate	n'importe qui peut participer
i often travel	je voyage frequemment
i'm still thirsty	j'ai toujours soif
she is wrong	elle a tort
do i look old ?	ai je l'air vieille ?
were you there ?	y etais tu ?
that was weird	c'etait bizarre
this gift is for you	c'est un cadeau pour vous
the game was called off	la partie fut annulee
she treated him very well	elle le traita fort bien
how tall you are !	comme vous etes grands !
all the rooms are taken	toutes les chambres sont prises
they deserved it	ils l'ont merite
it's one of mine	c'est l'un des miens
i'm unmarried	je suis celibataire
what do you seek ?	que cherches tu ?
stop screaming	cesse de hurler !
you're in the right place	tu es au bon endroit
it was so good	c'etait tellement bon
i was fired	j'ai ete vire
it's healthy and normal	c'est sain et normal
this program is a rerun	ce programme est une rediffusion
i love your city	j'aime ta ville
i saw tom hitting mary	j'ai vu tom frapper mary
i am married	je suis mariee
his mother speaks italian	sa mere parle l'italien
i am the chosen one	je suis l'elu
somebody saw you	quelqu'un vous a vues
you were so strong	vous etiez si fortes
i have confidence in him	j'ai confiance en lui
they're wrong	ils ont tort !
i hate taking risks	je deteste prendre des risques
they wanted protection	ils voulaient de la protection
they feared you	elles te craignaient
you must be strong	il vous faut etre fort
you should go to bed	vous devriez aller au lit
she really ate too much	elle mangeat vraiment sans limite
tom often goes fishing	tom va souvent pecher
i'll bring sandwiches	j'amenerai des tartines
i'll follow you	je vous suivrai
i bought an electric car	j'ai achete une voiture electrique
sleep tight	dormez bien
this water tastes good	cette eau a bon gout
they love their children	elles cherissent leurs enfants
she went on speaking	elle continua a parler
get your mother	allez chercher votre mere !
i love romance novels	j'aime les romans d'amour
he was buried alive	il fut enterre vivant
i'll expect you next week	je t'attendrai la semaine prochaine
i was bluffing	j'etais en train de bluffer
i'll follow you	je te suivrai
do you live alone ?	vis tu seul ?
i remember her	je me souviens d'elle
what a great idea !	quelle idee brillante !
i figured you'd understand	j'imaginais que tu comprendrais
i could hear everything	j'ai pu tout entendre
italian isn't difficult	l'italien ca n'est pas difficile
you should get up early	vous devriez vous lever tot
quit hassling me	arretez de m'embeter !
you aren't invited	vous n'etes pas invite
he took off his clothes	il ota ses vetements
i'm surprised	je suis surpris
choose whichever you like	choisis celui qui te chante
it wasn't a dream	ce n'etait pas un reve
he was painfully thin	il etait atrocement mince
you've come too early	vous etes venus trop tot
tom lost the race	tom a perdu la course
tom began coughing	tom commenca a tousser
grab my hand	saisis moi la main !
hand in your papers	remettez nous vos papiers
i lit the candle	j'allumai la bougie
i saw him running	je l ai vu courir
tom was extremely impolite	tom etait extremement impoli
i want to have fun	je veux m'amuser
they absolutely detest each other	ils se detestent absolument
i like what i see	j'aime ce que je vois
he pushed me gently	il m'a poussee gentiment
i prefer this version	je prefere cette version
it's a present for you	c'est un cadeau pour vous
i write almost every day	j'ecris quasiment tous les jours
i think he is right	je pense qu'il a raison
it hurts here	ca fait mal ici
we've already met	nous nous sommes deja rencontrees
this is preposterous	c'est grotesque
come back in a day	reviens demain !
i think they like you	je pense qu'elles vous apprecient
he speaks english and french	il parle anglais et francais
i recognized the name	j'ai reconnu le nom
nobody came to help me	personne n'est venu m'aider
tom is a grown man	tom est un adulte
that is not true	ce n'est pas vrai
i feel bad for her	je compatis avec elle
i cried on his shoulder	j'ai pleure sur son epaule
we're too weak	nous sommes trop faibles
we're strong	nous sommes fortes
he isn't here now	il n'est pas la actuellement
i forgot about that	j'ai oublie ca
tom started shaking	tom commenca a trembler
you were perfect	vous avez ete parfaits
how are your parents ?	comment vont vos parents ?
hooker was extremely pleased	hooker etait extremement ravi
they held hands	ils se tenaient les mains
it's not really necessary	ce n'est pas vraiment necessaire
i have no food	je ne dispose d'aucune nourriture
i'm not old	je ne suis pas vieille
they'll like that	ils vont aimer cela
how did it feel ?	qu'as tu ressenti ?
this is ludicrous	c'est absurde
you're very nice	vous etes tres chouette
you'll succeed if you try	tu reussiras si tu essayes
he is no fool	il n'est pas fou
i lost my key	je perdis la cle
i said nothing	je n'ai rien dit
i need an escort	j'ai besoin d'une hotesse
i like singing with tom	j'aime bien chanter avec tom
she led a solitary life	elle mene une vie solitaire
go play in traffic	va mourir
he's wet	il est mouille
i'm by your side	je suis avec toi
it is sunny today	aujourd'hui est un jour ensoleille
how are you feeling ?	comment te sens tu ?
says who ? says me	qui dit ca ? moi
i like you	je t'aime bien
he ratted us out	il nous a denonces
i think they're ready	je pense qu'elles sont pretes
i'm not alone	je ne suis pas seul
you're not alone anymore	vous n'etes plus seule
i'd be happy to cooperate	je serais ravie de cooperer
those are my cds	ce sont mes cds
i did it like this	je l'ai fait comme ceci
it's all over for us	c'est plie pour nous
this is your fate	c'est ton destin
we're all working hard	nous travaillons tous dur
i paid for these tickets	j'ai paye ces contraventions
i don't like being controlled	je n'apprecie pas d'etre controlee
they said no	elles dirent non
they're all tourists	ce sont toutes des touristes
i'm not ugly	je ne suis pas laid
lies beget more lies	le mensonge entraine le mensonge
they're surprised	ils sont surpris
her silence surprised me	son silence m'a surpris
tom gets up at	tom se leve a h
he's not always happy	il n'est pas toujours heureux
we all cried	nous avons toutes pleure
you're all against me	vous etes tous contre moi
nobody understands me	personne ne me comprend
they made her go	ils la firent partir
you may use my car	tu peux prendre ma voiture
did you see it ?	l'as tu vu ?
tom signed the documents	tom signa les documents
we're realistic	nous sommes realistes
you're no different	vous n'etes pas different
that's not nice	ce n'est pas sympa
we've got nothing to hide	nous n'avons rien a cacher
i'm traveling light	je voyage leger
look before you leap	regarde avant de sauter
a typhoon is approaching japan	un typhon s'approche du japon
here comes the waiter	voici le serveur !
his parents were furious	ses parents etaient furieux
she does not like him	elle ne l'aime pas
which is our car ?	laquelle est notre auto ?
you will always be welcome	tu seras toujours bienvenu
i should be happy	je devrais etre heureuse
i'm pleased to meet you	enchante de faire votre connaissance
he was not pleased	il ne fut pas content
those dogs are big	ces chiens sont massifs
don't worry about me	ne t'inquiete pas pour moi
he's adorable	il est adorable
he pulled open the door	il ouvrit la porte
let me see it	laissez moi les voir
you are a beautiful butterfly	tu es un beau papillon
the boy almost drowned	le garcon s'est presque noye
connect the two cables together	connectez ensemble les deux cables
they formed a circle	ils formerent un cercle
we don't have that	on n'a pas ca
take a seat	asseyez vous !
tom likes chess	tom aime les echecs
that was very good	ce fut tres bon
put on your hat	mets ton chapeau !
school's not fun	l'ecole ce n'est pas drole
i've tried to contact tom	j'ai essaye de contacter tom
my hands are cold	mes mains sont froides
my parents are old	mes parents sont vieux
that's our house	c'est notre residence
i came with my friends	je vins avec mes amies
does that satisfy you ?	cela te satisfait il ?
was tom there ?	tom etait il la ?
we don't have any money	nous n'avons aucun argent
you're in big trouble	vous avez de gros problemes
i need an envelope	j'ai besoin d'une enveloppe
we're not related	nous ne sommes pas apparentees
i'm exhausted	je suis epuisee
i really enjoyed that	j'y ai vraiment pris plaisir
why do you lie ?	pourquoi mens tu ?
you're very curious	tu es fort curieux
they're in the garden	elles sont au jardin
i must have been dreaming	j'ai du rever
i've given up smoking	j'ai cesse de fumer
don't be sad	ne sois pas malheureux
tom is good at mathematics	tom est bon en mathematiques
in this case let's go	dans ce cas allons y
i was very flattered	j'ai ete tres flatte
no one else was injured	personne d'autre n'a ete blesse
they're very smart	ils sont tres intelligents
we saw it	nous l'avons vu
i'd like to be friends	j'aimerais que nous soyons amis
where do you live ?	ou habites tu ?
the doors were closed	les portes etaient fermees
i'm studying english	j'etudie l'anglais
i'll never leave you	je ne te quitterai jamais
he's a lovely young man	c'est un jeune homme adorable
she gave him a sweater	elle lui donna un chandail
i have already done it	je l'ai deja fait
try not to laugh	essaie de ne pas rigoler
just then the telephone rang	soudain le telephone sonna
don't be naive	ne soyez pas naive !
they robbed me blind	elles m'ont depouille
you should get married again	vous devriez vous remarier
we're finally alone	on est enfin seuls
they're all gone	ils sont tous partis
can we speak french ?	pouvons nous parler francais ?
we became good friends	nous devinmes bonnes amies
i thought you were kidding	je pensais que tu plaisantais
my bag is empty	mon sac est vide
i'm exhausted	je suis epuise
you didn't warn me	tu ne m'as pas averti
it's for free	c'est gratuit
you won't be interested	vous ne serez pas interesse
let's cross here	traversons ici
the watch keeps accurate time	la montre tient l'heure precise
you are very brave	tu es tres brave
i feel like i'm dreaming	j'ai l'impression de rever
we didn't see anybody	nous n'avons pas vu ame
i'll be ready	je serai prete
i thought you'd understand	je pensais que tu comprendrais
give it back to him	rendez le lui !
that's my chair	c'est ma chaise
better him than me	plutot lui que moi
he is quite right	il a plutot raison
i am from brazil	je viens du bresil
be prepared	tiens toi pret !
i know what to say	je sais quoi dire
be fair	sois juste !
they deserve it	elles le meritent
can we believe that ?	pouvons nous y croire ?
you're all invited	vous etes toutes invitees
go back to bed	retourne au lit !
i'm psyched	je suis remonte
you'll like it believe me	vous l'aimerez croyez moi
i want a raise	je veux une augmentation
who are those people ?	qui sont ces gens ?
how nice !	comme c'est gentil !
we're not interested	nous ne sommes pas interessees
i am a shy boy	je suis un garcon timide
they deserve it	ils le meritent
no one understood	personne ne comprit
i feel really bad	je me sens vraiment mal
what a horrible man !	quel homme epouvantable !
i have no religion	je n'ai pas de religion
they're angry	elles sont en colere
let's hope he's all right	esperons qu'il va bien
take a bite	prends une bouchee !
who goes there ?	qui va la ?
it may rain around noon	il pourrait pleuvoir vers midi
you should quit smoking	tu devrais arreter de fumer
i wrote it	c'est moi qui l'ai ecrit
i need a map	il me faut une carte
bring me my glasses	passe moi mes lunettes
as you like	comme vous voulez
leave me alone	fous moi la paix !
he kissed me passionately	il m'embrassa avec passion
i need the keys	j'ai besoin des cles
he approached the station	il s'approchait de la gare
you were in a coma	tu etais dans le coma
did you invite him ?	l'as tu invite ?
no one looks busy	personne ne semble occupe
tom is an octogenarian	tom est octogenaire
who built it ?	qui l'a construite ?
i always study hard	j'etudie toujours avec application
i like classical music	j'aime la musique classique
a dust storm is coming	une tempete de poussiere s'approche
i'm	j'ai ans
i believe that story	je crois a cette histoire
should we continue ?	devrions nous continuer ?
i can't protect you	je ne peux te proteger
i thought you understood	j'ai pense que tu comprenais
my boat is small	mon bateau est petit
i like this book	j'aime cet ouvrage
the tree fell down	l'arbre s'est couche
she wouldn't speak to him	elle refusait de lui parler
we're perfectly safe	nous sommes parfaitement en securite
i am in trouble	je suis mal barree
why would he lie ?	pourquoi mentirait il ?
now means now	maintenant veut dire maintenant
you're preaching to the choir	vous prechez un convaincu
i'm winning	je gagne
he had a loving family	il avait une famille aimante
he's hungry and thirsty	il a faim et soif
i will walk	je marcherai
some of us hate it	certains d'entre nous le detestent
this table isn't steady	cette table est bancale
that's hilarious	c'est hilarant
he's gone into hiding	il se planque
we could wait	nous pourrions attendre
she is hostile to me	elle m'est hostile
tom is sympathetic	tom est sympathique
i don't want any more	je ne veux plus
he was accused of theft	il fut accuse de vol
the soup's cold	le potage est froid
tom will be here tonight	tom sera ici ce soir
i'm so hungry	j'ai tellement faim
look into my eyes	regarde moi dans les yeux
we'll begin rehearsals tomorrow	nous commencerons demain les repetitions
they can't get out	ils ne peuvent sortir
they ruined it	ils l'ont detruit
prompt action is necessary	des mesures d'urgence sont necessaires
you work too hard	vous travaillez trop dur
are you still married ?	es tu toujours marie ?
this doesn't fit	ca ne correspond pas
not much has changed	pas grand chose n'a change
tom pulled out his gun	tom a sorti son flingue
tom's leg is bleeding	la jambe de tom saigne
would you like that ?	aimerais tu cela ?
they want you dead	ils vous veulent mort
he is a teacher	il est instituteur
he ran outside naked	il a couru nu dehors
she gave me a doll	elle me donna une poupee
be respectful	soyez respectueux !
i enjoy being a teacher	j'apprecie d'etre enseignante
it's a common mistake	c'est une erreur commune
tom won	tom a gagne
you're very timid	vous etes tres peureuses
this won't happen again	ca n'arrivera plus
it's your money	c'est votre argent
let's go to eat together	allons manger ensemble
i will sue you	je te poursuivrai en justice
my eyes are watering	mes yeux sont en larmes
wear whatever you want	portez ce que vous voulez
i get the idea	je pige
i'm exhausted	je suis crevee
that's hardly believable	c'est a peine croyable
we're very excited	nous sommes tres excitees
tom played with his cats	tom jouais avec ses chats
tom walks quickly	tom marche rapidement
it's for my family	c'est pour ma famille
i need water	j'ai besoin d'eau
you have a gum infection	vos gencives sont infectees
let's share the money	partageons l'argent !
do tigers purr ?	les tigres ronronnent ils ?
i have a business partner	j'ai un partenaire en affaires
he didn't show up	il ne s'est pas montre
it's a misunderstanding	c'est un malentendu
tom behaved badly	tom s'est mal comporte
the crops have withered	les champs se sont asseches
don't ignore her feelings	prenez en compte ses sentiments
what's it about ?	de quoi s'agit il ?
who's coming for dinner ?	qui vient diner ?
you're welcome	je vous en prie
i hear what you're saying	j'entends ce que tu dis
they do it each week	elles le font chaque semaine
tom collects antiques	tom collectionne les antiquites
the ground is still wet	le sol est encore humide
she just wrote a book	elle vient d'ecrire un livre
i knew all about that	j'en savais tout
bring the key	apporte la cle
let's do this	faisons ca
i'll have another	j'en prendrai un autre
